planning_room_id,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue
11300722,869,823,594,9,23,23
11300723,118,92,60,0,24,2
11300724,234,221,169,1,3,10
11300725,618,406,311,5,20,20
11300826,725,679,465,9,26,20
11400927,152,140,89,1,5,7
11400928,122,112,73,0,4,6
11400929,627,576,398,6,30,21
11400930,195,185,145,1,4,6
11400931,419,394,295,7,6,19
11401032,488,456,323,0,11,21
11401033,383,359,276,2,10,14
11401034,306,292,215,2,7,7
11401135,689,655,528,6,13,21
11401136,529,503,403,2,17,8
11401137,578,526,385,2,33,19
11501238,283,242,160,1,24,17
11501339,386,362,285,0,12,12
11501340,515,494,380,4,5,16
11501341,328,310,241,4,7,11
12100101,597,555,424,6,13,29
12100102,628,582,432,6,24,22
12100103,560,519,387,4,17,24
12100204,731,680,503,6,24,27
12100205,1004,923,667,19,44,37
12100206,241,227,174,1,8,6
12200307,219,210,160,4,3,6
12200308,320,310,232,6,4,6
12200309,801,748,520,5,36,17
12200310,506,477,373,1,14,15
12200411,52,43,27,0,2,7
12200412,410,372,272,8,23,15
12200413,473,453,367,7,9,11
12200414,606,582,422,7,13,11
12200515,1235,1146,844,12,36,46
12400616,298,282,216,2,4,12
12400617,247,231,181,7,5,11
12400618,236,220,160,4,6,10
12400619,359,331,248,5,11,17
12400720,420,393,298,6,8,19
12400721,368,356,273,3,3,9
12400722,548,417,316,7,6,14
12400723,334,319,244,9,5,10
12500824,605,577,436,11,14,14
12500825,392,360,248,7,17,15
12500926,617,586,427,9,15,16
12500927,645,461,337,5,13,18
12500928,297,271,218,1,8,18
12500929,217,200,151,5,9,8
12500930,762,709,489,8,23,29
12601031,223,196,156,1,15,12
12601032,341,318,242,2,5,18
12601133,795,741,604,12,32,22
12601134,1240,1162,873,8,40,29
12601235,561,516,409,5,19,26
12601236,199,193,146,4,3,3
